Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2923055,2024-05-27T00:00:00Z,California,Sacramento,2701 Meadowview Road,0,4,0,1,3
2923261,2024-05-27T00:00:00Z,Virginia,Richmond,1900 Raven Ct,2,2,0,0,0
2938698,2024-05-27T00:00:00Z,Mississippi,Jackson,Northside Dr,0,4,0,0,4
2921217,2024-05-26T00:00:00Z,Illinois,Chicago,1300 S Christiana Avenue,1,3,0,0,0
2921717,2024-05-26T00:00:00Z,Ohio,Cleveland,1437 Street Clair Avenue,2,2,0,0,3
2921394,2024-05-26T00:00:00Z,Missouri,Kansas City,Westport Road and Broadway,0,5,1,0,0
2921251,2024-05-25T00:00:00Z,California,San Fernando,925 Orange Grove Avenue,0,5,0,0,1
2921097,2024-05-25T00:00:00Z,Minnesota,Saint Paul,2039 17th Avenue E,0,4,0,0,0
2920512,2024-05-25T00:00:00Z,Florida,Fort Pierce,1800 Avenue G,0,5,0,0,0
2920544,2024-05-24T00:00:00Z,Illinois,Pembroke Township,13100 E Central Street,2,3,0,0,0
2919460,2024-05-23T00:00:00Z,New Jersey,Newark,121 Shephard Avenue,0,4,0,0,0
2917331,2024-05-22T00:00:00Z,Pennsylvania,Chester,2626 W 4th Street,2,3,0,0,1
2916464,2024-05-21T00:00:00Z,Illinois,Chicago,1100 S Whipple Street,0,4,0,0,0
2916825,2024-05-21T00:00:00Z,Pennsylvania,Harrisburg,Chestnut Street and S 15th Street,1,3,1,0,1
2918843,2024-05-20T00:00:00Z,Michigan,Detroit,17000 Ohio Street,1,4,0,0,1
2913404,2024-05-18T00:00:00Z,Florida,Sarasota,3474 17th Street,1,4,0,1,1
2914188,2024-05-18T00:00:00Z,Missouri,Saint Louis,3000 Olive Street,1,3,0,0,2
2914190,2024-05-18T00:00:00Z,Missouri,Bridgeton,MO-141 and Corporate Woods Dr,1,4,0,0,2
2914713,2024-05-18T00:00:00Z,North Carolina,Reidsville,8110 Cherry Grove Road,2,2,1,0,0
2913794,2024-05-18T00:00:00Z,Illinois,Chicago,700 S Albany Avenue,0,6,0,0,0
2913782,2024-05-18T00:00:00Z,Georgia,Savannah,W Congress Ln and Barnard Street,0,9,0,2,7
2913052,2024-05-18T00:00:00Z,Ohio,Columbus,132 E 5th Avenue,3,3,0,0,0
2908173,2024-05-12T00:00:00Z,Missouri,Saint Louis,10000 Toelle Ln,1,3,0,0,0
2907387,2024-05-12T00:00:00Z,Florida,Tallahassee,1147 Apalachee Pkwy,2,2,0,0,0
2916101,2024-05-12T00:00:00Z,Alabama,Montgomery,2400 Eastern Blvd,0,6,0,0,0
2907162,2024-05-12T00:00:00Z,Georgia,Atlanta,2110 Peachtree Road Northwest,2,4,0,0,1
2907598,2024-05-12T00:00:00Z,Massachusetts,Northborough,333 Howard Street,1,4,0,0,3
2906715,2024-05-11T00:00:00Z,Kentucky,Louisville,282 Evangeline Avenue,2,2,0,0,0
2907355,2024-05-11T00:00:00Z,Alabama,Stockton,9400 Bryants Landing Road,3,15,0,0,3
2904816,2024-05-08T00:00:00Z,North Carolina,Durham,311 S Lasalle Street,1,3,0,0,2
